723574001389336|Delincuencia y daños|0:00|5:02|
723574001389336|Comunicado oficial|5:03|6:54|
723574001389336|Reportajes|6:55|10:22|
723574001389336|Comunicado oficial|10:23|16:49|
723574001389336|Comunicado oficial|16:50|19:17|
723574001389336|Manifestaciones|19:18|20:32|
723574001389336|Delincuencia y daños|20:33|25:17|
723574001389336|Manifestaciones|25:18|27:22|
723574001389336|Reportajes|27:23|28:17|
723574001389336|Comunicado oficial|28:18|28:52|
723574001389336|Reportajes|28:53|32:11|
723574001389336|Reportajes|32:12|33:16|
723574001389336|Reportajes|33:17|36:25|
723574001389336|Reportajes|36:26|42:49|
