username|to|text|retweets|favorites|replies|id|permalink|author_id|date|formatted_date|mentions|hashtags|geo|urls
MetroEcuador|None|#MetroNoticias #Perú #Ecuador El movimiento telúrico fue sentido fuerte en #Napo, #Pastaza, #Loja y #ZamoraChinchipe. Mira las imágenes de las cámaras de video vigilancia https://www.metroecuador.com.ec/ec/noticias/2019/05/26/al-menos-6-personas-heridas-ecuador-terremoto-epicentro-peru.html …|1|0|0|1132656245284986881|https://twitter.com/MetroEcuador/status/1132656245284986881|202782532|2019-05-26 14:34:27+00:00|Sun May 26 14:34:27 +0000 2019||#MetroNoticias #Perú #Ecuador #Napo #Pastaza #Loja #ZamoraChinchipe||https://www.metroecuador.com.ec/ec/noticias/2019/05/26/al-menos-6-personas-heridas-ecuador-terremoto-epicentro-peru.html
MarcoRiofrioV|JorgeCevallosF2|En Zamora Chinchipe - Ecuador no fue el epicentro, sino en el Alto Amazonas - Peru en plena selva, segun datos del Servicio Geologico de los Estados Unidos|0|2|0|1132654764188209153|https://twitter.com/MarcoRiofrioV/status/1132654764188209153|843168066171273216|2019-05-26 14:28:34+00:00|Sun May 26 14:28:34 +0000 2019||||
analgrimaldic|None|Fuerte #terremoto M8.2 a 431.21km de Yantzaza,Zamora Chinchipe - #Perú con una profundidad de 74 km. #temblor #igepnecuador Terrible despertar con noticias tan lamentables. Díos proteja nuestros hermanos del sur del país y de Perú. #TerremotoEnPerúpic.twitter.com/8fIAzrE2WB|1|0|1|1132649918550749185|https://twitter.com/analgrimaldic/status/1132649918550749185|187101339|2019-05-26 14:09:18+00:00|Sun May 26 14:09:18 +0000 2019||#terremoto #Perú #temblor #igepnecuador #TerremotoEnPerúpic||
JorgeCevallosF2|podagop|Sra. María, Zamora Chinchipe es una provincia del Ecuador y ahí hubo un terremoto. Janet no informó sobre el epicentro que puede estar en el Perú. En Perú no hay nada llamado Zamora Chinchipe. El terremoto no tiene nada que ver con M.F Espinosa.|0|6|1|1132647353033404421|https://twitter.com/JorgeCevallosF2/status/1132647353033404421|984222047726432259|2019-05-26 13:59:07+00:00|Sun May 26 13:59:07 +0000 2019||||
monicasalazar13|None|Según el @IGecuador y el @inocarec fueron TRES TEMBLORES o más bien terremotos 2 al norte de Perú y 1 al Sur de Ecuador (Zamora Chinchipe) sucedieron en menos de 4 minutos de diferencia se sintió en todo el país gracias a Dios no fueron en poblaciones grandes|1|1|0|1132646492303503361|https://twitter.com/monicasalazar13/status/1132646492303503361|377333569|2019-05-26 13:55:41+00:00|Sun May 26 13:55:41 +0000 2019|@IGecuador @inocarec|||
KerApolinario_N|juanerodriguezh|Nadie dice que está mal el dato, sino que se prestó para mala interpretación...con el susto la gente lee Zamora y ya cree que fue aquí, nadie sabe dónde exactamente queda 431 km de distancia de Yantzaza, Zamora Chinchipe...Debieron decir: Sismo en Perú!!|0|4|2|1132645929977339904|https://twitter.com/KerApolinario_N/status/1132645929977339904|4334310640|2019-05-26 13:53:27+00:00|Sun May 26 13:53:27 +0000 2019||||
dannydaniel003|None|@Andres_Vaca_ Un saludo desde EcuadorFuera del fútbol en la madrugada de el día de hoy ocurrió un sismo de magnitud 8.0 en Perú- Zamora Chinchipe. Hay que agregar que se sintió también en Colombia, Ecuador y Brasil. Enviar fuerzas a los hermanos Peruanos y muchos saludos Andrés.|0|0|0|1132644696197668864|https://twitter.com/dannydaniel003/status/1132644696197668864|815776126828154880|2019-05-26 13:48:33+00:00|Sun May 26 13:48:33 +0000 2019|@Andres_Vaca_|||
davolara|None|AHORA   Fuerte Terremoto M8.2 a 431.21km de Yantzaza,Zamora Chinchipe - Perú con una profundidad de 74 km. #temblor #IGEPN|0|0|0|1132644054318100482|https://twitter.com/davolara/status/1132644054318100482|50376212|2019-05-26 13:46:00+00:00|Sun May 26 13:46:00 +0000 2019||#temblor #IGEPN||
LuisMiguelBarro|None|Según las autoridades el epicentro fue en #Perú (2:41 am), se registraron daños materiales. También se sintió en #Ecuador, #Brasil y #Colombia. En nuestro país en #ZamoraChinchipe hay daños materiales. En #Azuay se registró daños leves en los cantones como #Sígsig y #Cuenca.pic.twitter.com/qf6Wv88ThG|0|0|0|1132643188580261889|https://twitter.com/LuisMiguelBarro/status/1132643188580261889|590403718|2019-05-26 13:42:34+00:00|Sun May 26 13:42:34 +0000 2019||#Perú #Ecuador #Brasil #Colombia #ZamoraChinchipe #Azuay #Sígsig #Cuenca||
AndresM65059506|ottosonnenh|El epicentro no fue en Zamora Chinchipe, fue en el Perú, seguramente el Vice estuvo medio dormido cuando escribió, pero al menos se manifestó, el Presidente nada.|0|0|0|1132642440677134336|https://twitter.com/AndresM65059506/status/1132642440677134336|1111383994829033472|2019-05-26 13:39:35+00:00|Sun May 26 13:39:35 +0000 2019||||
globalnews_ec|None|Fuerte Terremoto M8.2 a 431.21km de Yantzaza,Zamora Chinchipe - Perú con una profundidad de 74 km. #temblor #IGEPNpic.twitter.com/JwNlCsHDMf|3|2|0|1132639731278336000|https://twitter.com/globalnews_ec/status/1132639731278336000|953845117118492674|2019-05-26 13:28:50+00:00|Sun May 26 13:28:50 +0000 2019||#temblor #IGEPNpic||
PepeBeisbol|None|diosss RT @SismoMundial: AHORA   Fuerte Terremoto M8.2 a 431.21km de Yantzaza,Zamora Chinchipe - Perú con una profundidad de 74 km. #temblor #IGEPNpic.twitter.com/LbXvIK05SS|0|0|0|1132637557467033600|https://twitter.com/PepeBeisbol/status/1132637557467033600|54212425|2019-05-26 13:20:11+00:00|Sun May 26 13:20:11 +0000 2019|@SismoMundial|#temblor #IGEPNpic||
dianamarivera|None|URGENTE FUERTE #SISMO SACUDE ECUADOR COLOMBIA PERÚ Y BRAZIL CONFIRMEN DÓNDE LO SINTIERON FUERTE Y LARGO A 430Km de ZAMORA CHINCHIPE 8.2 X perú Yanzamza. NOTICIA EN DESARROLLO ESTAR ALERTAS HUELE A TERREMOTO DIOS PROTEJE A MI PATRIA|0|0|0|1132631286902853632|https://twitter.com/dianamarivera/status/1132631286902853632|2474610338|2019-05-26 12:55:16+00:00|Sun May 26 12:55:16 +0000 2019||#SISMO||
elpetercito|elcomerciocom|El epicentro fue a 400 km. de Zamora, es decir, ya en Perú, no en Zamora Chinchipe. https://twitter.com/elcomerciocom/status/1132553873745485824 …|1|1|0|1132629587748372480|https://twitter.com/elpetercito/status/1132629587748372480|203121330|2019-05-26 12:48:31+00:00|Sun May 26 12:48:31 +0000 2019||||https://twitter.com/elcomerciocom/status/1132553873745485824
